Date,Open,High,Low,Close,Adj Close,Volume
2005-04-05,31.102000,31.246000,31.029000,31.153000,31.153000,66463065
2005-04-06,31.238000,31.447000,31.033000,31.102000,31.102000,82219312
2005-04-07,31.119000,31.487000,31.110000,31.477000,31.477000,88708926
2005-04-08,31.545000,31.587000,31.187000,31.221000,31.221000,92409842
2005-04-11,31.315000,31.340000,31.016000,31.085000,31.085000,71013459
2005-04-12,31.051000,31.306000,30.599000,31.238000,31.238000,145341318
2005-04-13,31.153000,31.187000,30.659000,30.727000,30.727000,109071067
2005-04-14,30.744000,30.761000,30.250000,30.292000,30.292000,158933964
2005-04-15,30.019000,30.139000,29.551000,29.602000,29.602000,170274398
2005-04-18,29.585000,29.909000,29.517000,29.610000,29.610000,110713926
2005-04-19,29.841000,29.909000,29.610000,29.815000,29.815000,97511449
2005-04-20,30.002000,30.071000,29.474000,29.571000,29.571000,140456063
2005-04-21,29.900000,30.428000,29.789000,30.352000,30.352000,125000946
2005-04-22,30.224000,30.224000,29.668000,29.900000,29.900000,115150749
2005-04-25,30.079000,30.218000,29.950000,30.143000,30.143000,72220029
2005-04-26,30.062000,30.420000,29.858000,29.866000,29.866000,108099464
2005-04-27,29.713000,30.037000,29.593000,29.909000,29.909000,112639749
2005-04-28,29.764000,29.951000,29.585000,29.610000,29.610000,98661337
2005-04-29,29.824000,29.878000,29.270000,29.806000,29.806000,144508387
2005-05-02,29.883000,30.048000,29.726000,29.926000,29.926000,68205394
2005-05-03,29.866000,30.335000,29.849000,30.079000,30.079000,104075336
2005-05-04,30.071000,30.532000,30.028000,30.444000,30.444000,90934885
2005-05-05,30.471000,30.611000,30.275000,30.471000,30.471000,79625223
2005-05-06,30.650000,30.693000,30.440000,30.554000,30.554000,77397625
2005-05-09,30.565000,30.727000,30.383000,30.701000,30.701000,66371706
2005-05-10,30.548000,30.642000,30.351000,30.476000,30.476000,77475651
2005-05-11,30.531000,30.698000,30.079000,30.633000,30.633000,132093966
2005-05-12,30.684000,30.846000,30.382000,30.548000,30.548000,116671463
2005-05-13,30.667000,31.076000,30.580000,30.880000,30.880000,133310016
2005-05-16,30.880000,31.134000,30.786000,31.088000,31.088000,79136957
2005-05-17,30.973000,31.306000,30.855000,31.272000,31.272000,91708996
2005-05-18,31.357000,31.834000,31.281000,31.698000,31.698000,128146759
2005-05-19,31.783000,31.971000,31.698000,31.964000,31.964000,93998428
2005-05-20,31.911000,32.116000,31.826000,32.090000,32.090000,66708477
2005-05-23,32.090000,32.368000,32.039000,32.252000,32.252000,93084800
2005-05-24,32.167000,32.380000,32.124000,32.354000,32.354000,100988450
2005-05-25,32.235000,32.278000,32.030000,32.218000,32.218000,76490880
2005-05-26,32.363000,32.610000,32.363000,32.542000,32.542000,84087865
2005-05-27,32.508000,32.593000,32.397000,32.559000,32.559000,50134134
2005-05-31,32.542000,32.584000,32.312000,32.448000,32.448000,75294958
2005-06-01,32.405000,32.959000,32.397000,32.729000,32.729000,110985243
2005-06-02,32.661000,32.942000,32.635000,32.942000,32.942000,76148728
2005-06-03,32.917000,32.925000,32.397000,32.465000,32.465000,97066527
2005-06-06,32.482000,32.542000,32.346000,32.474000,32.474000,53078551
2005-06-07,32.508000,32.781000,32.157000,32.201000,32.201000,109623127
2005-06-08,32.278000,32.337000,32.005000,32.133000,32.133000,79250426
2005-06-09,32.090000,32.431000,31.954000,32.337000,32.337000,99440618
2005-06-10,32.295000,32.295000,31.851000,31.994000,31.994000,86005691
2005-06-13,31.937000,32.337000,31.920000,32.150000,32.150000,82360374
2005-06-14,32.116000,32.243000,31.954000,32.022000,32.022000,62764610
2005-06-15,32.235000,32.269000,31.741000,32.124000,32.124000,104082266
2005-06-16,32.158000,32.380000,32.090000,32.295000,32.295000,90509327
2005-06-17,32.513000,32.589000,32.197000,32.299000,32.299000,89171244
2005-06-20,32.171000,32.478000,32.052000,32.299000,32.299000,68165272
2005-06-21,32.265000,32.420000,32.154000,32.282000,32.282000,97916236
2005-06-22,32.419000,32.495000,32.095000,32.248000,32.248000,75517520
2005-06-23,32.308000,32.564000,31.839000,31.890000,31.890000,122223734
2005-06-24,31.881000,31.907000,31.521000,31.532000,31.532000,142329993
2005-06-27,31.515000,31.608000,31.301000,31.387000,31.387000,72888203
2005-06-28,31.515000,31.779000,31.472000,31.685000,31.685000,73382074
2005-06-29,31.771000,31.779000,31.532000,31.615000,31.615000,71580396
2005-06-30,31.677000,31.736000,31.344000,31.370000,31.370000,87963270
